,num_nodes,density,shear,stretch,W
num_nodes,1.0,-1.2746037379594206e-17,-1.0453022886661574e-16,-1.4291242227857616e-16,-0.28108631515532484
density,-1.2746037379594206e-17,1.0,-0.19245008972987526,-0.19245008972987523,0.2700481529881419
shear,-1.0453022886661574e-16,-0.19245008972987526,1.0,0.9999999999999999,0.6934251601651243
stretch,-1.4291242227857616e-16,-0.19245008972987523,0.9999999999999999,1.0,0.6934251601651245
W,-0.28108631515532484,0.2700481529881419,0.6934251601651243,0.6934251601651245,1.0
