theta_z_deg,open_step,align_deg,tilt_deg,cost,t_flight,release_x,release_y,release_z,vel_x,vel_y,vel_z,land_x,land_y,land_z
25.0,0.05171428571428571,44.950704973809394,90,0.6443090713149255,0.12115650656307651,0.6470323183142009,0.4609749587783011,0.072,0.0,0.0,0.0,0.6470323183142009,0.4609749587783011,0.0
25.0,0.05171428571428571,44.950704973809394,75,0.6551038005859208,0.12115650656307651,0.5083422552359915,0.5670639174708499,0.072,0.0,0.0,0.0,0.5083422552359915,0.5670639174708499,0.0
-5.0,0.05171428571428571,44.950704973809394,60,0.6703637229733496,0.12115650656307651,0.6368482167813371,0.43652124847178575,0.072,0.0,0.0,0.0,0.6368482167813371,0.43652124847178575,0.0
-5.0,0.05171428571428571,44.950704973809394,75,0.6703637229733496,0.12115650656307651,0.6368482167813371,0.43652124847178575,0.072,0.0,0.0,0.0,0.6368482167813371,0.43652124847178575,0.0
-5.0,0.05171428571428571,44.950704973809394,90,0.6703637229733496,0.12115650656307651,0.6368482167813371,0.43652124847178575,0.072,0.0,0.0,0.0,0.6368482167813371,0.43652124847178575,0.0
-5.0,0.055857142857142855,44.950704973809394,60,0.844290669313717,0.12115650656307651,0.2836978824399491,0.5530794134645494,0.072,0.0,0.0,0.0,0.2836978824399491,0.5530794134645494,0.0
-5.0,0.055857142857142855,44.950704973809394,75,0.844290669313717,0.12115650656307651,0.2836978824399491,0.5530794134645494,0.072,0.0,0.0,0.0,0.2836978824399491,0.5530794134645494,0.0
-5.0,0.055857142857142855,44.950704973809394,90,0.844290669313717,0.12115650656307651,0.2836978824399491,0.5530794134645494,0.072,0.0,0.0,0.0,0.2836978824399491,0.5530794134645494,0.0
35.0,0.055857142857142855,44.950704973809394,60,0.9226985584949877,0.12115650656307651,1.6238257501127822,0.32013673187548003,0.072,0.0,0.0,0.0,1.6238257501127822,0.32013673187548003,0.0
15.0,0.04342857142857143,44.950704973809394,60,0.9464776187138108,0.12115650656307651,0.5378021971178956,0.17405019902107796,0.072,0.0,0.0,0.0,0.5378021971178956,0.17405019902107796,0.0
-5.0,0.039285714285714285,44.950704973809394,60,0.9826521899396654,0.12115650656307651,0.30900415794657976,0.30133693910576254,0.072,0.0,0.0,0.0,0.30900415794657976,0.30133693910576254,0.0
