% # columns="iteration, evaluation, void, void, void, xmean", seed=10, Wed Jun  3 16:10:59 2026, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 7 0 0 0 1.2316142255814464 1.168418348588656 1.5737566288683855
2 14 0 0 0 1.2256221742687987 0.6484647354661062 1.0283845713795727
2 14 0 0 0 1.1398635064481968 1.199904108822627 1.5686407480520281
3 21 0 0 0 1.2449552665130232 0.5159854125152997 1.2184520499230507
3 21 0 0 0 1.19764330766646 1.084105055671897 1.7207716660379009
4 28 0 0 0 1.0897853184108097 0.49949996127407986 1.2328744018800315
4 28 0 0 0 1.3492118616566067 0.7635685677743607 1.6374580591694896
5 35 0 0 0 1.2908817670792405 0.39307276631406485 1.5724182104680524
5 35 0 0 0 1.0764178410320444 0.5423107609125652 1.3198928912399608
6 42 0 0 0 1.3357933144841934 -0.0667580821932462 1.7108830833738262
6 42 0 0 0 1.039704620349301 0.5185134522521945 1.3148643171136687
7 49 0 0 0 1.4700514281017092 0.3995441317948497 1.9280975596506118
7 49 0 0 0 1.0029899304303893 0.5312133316924454 1.1667392997324226
8 56 0 0 0 1.1133951636960597 1.0153365133173935 1.7289912712450721
8 56 0 0 0 0.9575053489900951 0.577956712216676 1.308606927495455
9 63 0 0 0 1.0117507307905045 0.7973099781008786 1.7273766320833595
9 63 0 0 0 0.9061133967708715 0.5503349884920257 1.3402944126533307
10 70 0 0 0 0.9597950748993752 -0.1544003643689204 1.8974931543310145
10 70 0 0 0 0.9733699404463928 0.5863352558064979 1.287180583791246
11 77 0 0 0 1.005084426331422 -0.6339182066290043 1.812206187965068
11 77 0 0 0 1.0243034293596984 0.5548880110290243 1.3226442149841227
12 84 0 0 0 0.6814132329053649 -0.2279148373703456 1.58933159199001
12 84 0 0 0 1.0439627552915167 0.5632931370879327 1.338261563686315
13 91 0 0 0 1.0104096722617706 -0.40077382173501397 1.6173191153191508
13 91 0 0 0 1.06621710808622 0.5351138524339731 1.420060816133931
14 98 0 0 0 0.9263575537722046 -0.08560446311178052 1.645962826388717
14 98 0 0 0 1.0353588946291452 0.48771413871890285 1.4541335449521409
15 105 0 0 0 1.2803469558392662 0.005279384905289106 1.7112633246132272
15 105 0 0 0 1.1020339594689639 0.5261512374808908 1.4521309368063733
