% # columns="iteration, evaluation, sigma, max axis length,  min axis length, all principal axes lengths  (sorted square roots of eigenvalues of C)", seed=10, Wed Jun  3 16:10:59 2026
1 7 0.4389830730437211 0.9574956083692784 0.8919539238302427 1
2 14 0.35575392368704345 0.9249272349304137 0.7224250841354756 1
2 14 0.3500329483779125 0.9599450758476725 0.7875462234010955 1
3 21 0.34195857268714874 0.9456821173565232 0.636758167474146 1
3 21 0.311336776268916 0.9531878836367043 0.6785670259358287 1
4 28 0.3007457341146568 0.7857433120846895 0.6337291479533306 1
4 28 0.3285855790490237 1.0397237544283884 0.6318786101190191 1
5 35 0.3783000824676703 1.3755057238492072 0.5749288620015678 1
5 35 0.26289351339439254 0.6666378946493405 0.6044446999822589 1
6 42 0.4430585115662619 1.5336308881701826 0.5226430585364952 1
6 42 0.21497366103294482 0.6223842845085062 0.4958710382926041 1
7 49 0.4515372140346134 1.5522821950920431 0.5095780285151755 1
7 49 0.2081315701885832 0.6482176866294233 0.4840217039439111 1
8 56 0.48533076634043737 1.680843195627188 0.5969614571832074 1
8 56 0.19762432046912867 0.5999438594688572 0.4866566737498796 1
9 63 0.4462405578328992 1.4156876502472016 0.5947802852217924 1
9 63 0.18705120222315433 0.6063949439839941 0.4100213219366734 1
10 70 0.5077966493301286 1.754932250556052 0.5560431467716223 1
10 70 0.15581898028246544 0.5557810407946527 0.37978308765850205 1
11 77 0.5127334788710056 1.8084929749642684 0.5389908669614364 1
11 77 0.14253320549609824 0.557478372971425 0.33745487265375224 1
12 84 0.533807483409026 1.6026888695724055 0.5233863647347958 1
12 84 0.12460722346303398 0.5232461555837646 0.32468699334074763 1
13 91 0.44271939371028485 1.5647955266949678 0.4651308147348452 1
13 91 0.14433936115503138 0.645197526074793 0.3354165052013514 1
14 98 0.3455901904545344 1.4848492139618772 0.40975040815909836 1
14 98 0.16485111101157177 0.5819404732043956 0.35944495315620917 1
15 105 0.37942768709088776 1.2491282877151848 0.39650301100608326 1
15 105 0.15581476604573316 0.5457355997404882 0.2858794686765333 1
